surface,winner,winner_hand,winner_age,loser_hand,loser_age,w_ace,w_SvGms,l_ace,l_SvGms,winner_rank,loser_rank
Hard,Player1,R,21.735797399,R,29.492128679,11,14,7,13,4,67
Hard,Player1,R,21.735797399,R,31.9206023272,29,27,14,26,4,36
Hard,Player1,R,32.6598220397,L,30.5434633812,14,18,5,18,6,42
Hard,Player1,R,30.2943189596,R,26.2313483915,24,15,12,15,7,88
Hard,Player1,R,30.2943189596,R,23.7481177276,25,22,9,22,7,81
Hard,Player1,R,25.363449692,R,29.6865160849,9,24,21,23,8,61
Hard,Player1,R,29.0431211499,R,39.8767967146,9,29,59,28,9,73
Hard,Player1,R,29.0431211499,R,29.7932922656,3,14,9,13,9,44
Hard,Player1,R,22.6502395619,R,29.5003422313,15,19,6,18,11,63
Hard,Player1,R,22.6502395619,L,23.2991101985,16,14,4,13,11,69
Hard,Player1,R,22.1656399726,R,34.8391512663,16,14,11,13,12,321
Hard,Player1,R,22.1656399726,R,26.932238193,13,15,11,14,12,38
Hard,Player1,R,22.1656399726,R,26.8802190281,14,18,12,18,12,93
Hard,Player1,R,31.6440793977,R,21.6947296372,12,14,7,14,13,79
Hard,Player1,R,31.6440793977,R,31.6687200548,5,17,13,16,13,53
Hard,Player1,R,20.424366872,R,22.7570157426,15,22,9,21,15,54
Hard,Player1,R,22.9240246407,R,26.688569473,10,14,4,13,19,83
Hard,Player1,R,28.0492813142,R,23.7180013689,30,16,15,16,17,52
Hard,Player1,R,28.0492813142,R,33.7987679671,39,24,28,24,17,59
Hard,Player1,R,28.0492813142,R,27.8275154004,23,16,8,16,17,55
Hard,Player1,R,26.4120465435,R,26.4093086927,11,27,17,26,16,62
Hard,Player1,R,27.665982204,R,34.5626283368,18,18,6,18,21,
Hard,Player1,R,27.665982204,R,33.0349075975,8,21,15,21,21,94
Hard,Player1,R,27.665982204,R,29.6372347707,13,16,4,16,21,102
Hard,Player1,R,28.1040383299,R,22.6255989049,9,11,3,11,22,89
Hard,Player1,R,28.1040383299,R,28.2436687201,12,21,20,21,22,60
Hard,Player1,R,30.7515400411,R,31.6687200548,7,26,19,26,24,229
Hard,Player1,R,30.7515400411,R,29.5852156057,10,24,12,23,24,37
Hard,Player1,R,27.5099247091,R,24.887063655,5,15,11,14,23,84
Hard,Player1,R,22.6557152635,L,28.4024640657,10,26,22,25,25,78
Hard,Player1,L,19.7508555784,R,32.9746748802,15,15,1,14,27,85
Hard,Player1,L,19.7508555784,R,25.9630390144,16,15,6,15,27,82
Hard,Player1,L,35.1649555099,R,29.1745379877,4,14,2,14,28,98
Hard,Player1,R,19.9069130732,R,30.6338124572,5,16,1,16,29,103
Hard,Player1,R,24.8898015058,R,31.0527036277,20,15,4,14,31,56
Hard,Player1,R,24.8898015058,L,23.5838466804,15,23,21,23,31,71
Hard,Player1,R,32.3696098563,R,26.6529774127,10,11,2,11,33,47
Hard,Player1,R,32.9253935661,R,25.8124572211,12,20,7,19,200,75
Hard,Player1,U,27.0746064339,R,27.4442162902,23,19,8,18,137,77
Hard,Player1,R,26.7898699521,R,27.5099247091,20,21,9,20,166,99
Hard,Player1,R,33.7440109514,L,29.5112936345,23,16,8,16,177,40
Hard,Player1,R,19.4442162902,L,31.3976728268,16,17,10,17,149,70
Hard,Player1,R,28.2436687201,R,32.758384668,11,15,10,14,60,108
Hard,Player1,R,26.688569473,L,25.5140314853,20,14,10,13,83,90
Hard,Player1,R,31.6687200548,R,23.2607802875,19,22,21,21,53,45
Hard,Player1,R,24.887063655,R,34.984257358,8,17,2,16,84,43
Hard,Player1,R,29.7932922656,L,28.6625598905,19,26,18,26,44,65
Hard,Player1,R,39.8767967146,R,21.9219712526,39,24,14,24,73,76
Hard,Player1,R,31.9206023272,L,20.553045859,29,28,20,27,36,95
Hard,Player1,R,27.8275154004,R,31.2717316906,21,20,23,20,55,49
Hard,Player1,R,33.7987679671,R,30.3737166324,3,7,4,6,59,86
Hard,Player1,R,26.932238193,L,30.9924709103,14,20,4,20,38,64
Hard,Player1,R,28.6844626968,R,23.6194387406,13,21,15,20,96,92
Hard,Player1,R,23.7481177276,R,21.234770705,8,19,6,19,81,87
Hard,Player1,R,29.1745379877,R,21.0102669405,10,18,4,18,98,107
Hard,Player1,R,29.5852156057,L,28.2765229295,11,19,6,19,37,80
Hard,Player1,L,23.2991101985,R,27.4825462012,10,21,18,21,69,41
Hard,Player1,R,21.2128678987,L,23.394934976,15,15,8,14,50,68
Hard,Player1,R,24.7364818617,L,37.3169062286,9,14,9,14,72,66
Hard,Player1,R,33.0349075975,R,28.5420944559,5,15,5,14,94,46
Hard,Player1,R,31.7754962355,R,35.613963039,9,17,5,17,58,100
Hard,Player1,R,31.1348391513,R,28.7227926078,12,18,12,18,48,51
Hard,Player1,R,26.8802190281,R,28.6844626968,15,17,11,17,93,96
Hard,Player1,R,34.8966461328,R,24.7364818617,14,15,11,14,35,72
Hard,Player1,R,29.6372347707,R,21.3798767967,2,26,67,25,102,97
Hard,Player1,R,33.325119781,R,31.7754962355,7,13,4,12,57,58
Hard,Player1,R,20.9828884326,R,34.8966461328,16,25,19,25,39,35
Clay,Player1,R,25.4729637235,L,28.720054757,9,14,4,14,112,59
Clay,Player1,L,28.720054757,R,33.0924024641,5,13,11,12,59,92
Clay,Player1,R,25.4729637235,L,28.334017796,4,7,4,6,112,77
